PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Paul George,IND,26,6-9,220,Fresno State,USA,2010,1,10,81,"1,874.00",563,329,2.8,2.70%,16.50%,29.60%,55.70%,20.30%
Pau Gasol,CHI,35,7-0,250,None,Spain,2001,1,3,72,"1,187.00",793,294,-0.2,6.50%,24.90%,24.40%,52.90%,21.50%
Patty Mills,SAS,27,6-0,185,St.Mary's College of California,Australia,2009,2,55,81,690,158,226,12.1,1.70%,7.80%,18.90%,54.10%,19.70%
Patrick Patterson,TOR,27,6-9,235,Kentucky,USA,2010,1,14,79,543,342,94,9.2,4.00%,12.80%,12.70%,53.40%,7.00%
Patrick Beverley,HOU,27,6-1,185,Arkansas,USA,2009,2,42,71,700,250,239,3.5,3.50%,8.70%,15.30%,55.30%,17.50%
Pat Connaughton,POR,23,6-5,206,Notre Dame,USA,2015,2,41,34,36,32,10,-5,7.10%,12.60%,17.80%,35.20%,11.50%
Pablo Prigioni,LAC,39,6-3,185,None,Argentina,Undrafted,Undrafted,Undrafted,59,145.00,114,130,-4.1,4.50%,9.20%,10.80%,48.20%,23.50%
PJ Hairston,MEM,23,6-6,230,North Carolina,USA,2014,1,26,66,410.00,174,38,-5.9,1.80%,11.90%,16.10%,47.00%,4.50%
P.J. Tucker,PHX,31,6-6,245,Texas-Austin,USA,2006,2,35,82,652,512,177,-6.4,6.20%,13.80%,12.50%,50.60%,10.40%
Otto Porter Jr.,WAS,23,6-8,198,Georgetown,USA,2013,1,3,75,871.00,391,120,1.5,4.20%,13.20%,15.90%,56.40%,7.60%
Orlando Johnson,NOP,27,6-5,220,Cal-Santa Barbara,USA,2012,2,36,7,26,15,2,-18.3,3.10%,11.50%,16.70%,34.60%,3.10%
Omri Casspi,SAC,28,6-9,225,None,Israel,2009,1,23,69,813,410,95,1,3.00%,17.60%,17.40%,58.70%,7.40%
Omer Asik,NOP,29,7-0,255,None,Turkey,2008,2,36,68,269,414,26,-8.8,9.50%,25.80%,11.40%,55.10%,3.20%
O.J. Mayo,MIL,28,6-5,210,Southern California,USA,2008,1,3,41,321,105,118,-2.2,1.20%,8.20%,16.50%,47.40%,15.60%
Norris Cole,NOP,27,6-2,175,Cleveland State,USA,2011,1,28,45,477.00,151,167,-4.5,0.80%,12.20%,21.20%,46.50%,21.90%
Norman Powell,TOR,23,6-4,215,UCLA,USA,2015,2,46,49,273,111,47,4.8,2.30%,12.90%,17.40%,54.10%,10.20%
Noah Vonleh,POR,20,6-9,240,Indiana,USA,2014,1,9,78,283,305,30,-1.8,7.40%,18.40%,13.00%,47.10%,3.70%
Nikola Vucevic,ORL,25,7-0,260,Southern California,Montenegro,2011,1,16,65,"1,181.00",576,179,-1.2,8.40%,20.30%,26.50%,53.10%,15.40%
Nikola Pekovic,MIN,30,6-11,307,None,Montenegro,2008,2,31,12,54.00,21,11,-19.9,4.80%,9.80%,20.40%,45.90%,13.10%
Nikola Mirotic,CHI,25,6-10,220,None,Montenegro,2011,1,23,66,777,362,100,0.7,3.50%,17.40%,20.90%,56.40%,9.50%
Nikola Jokic,DEN,21,6-10,250,None,Serbia,2014,2,41,80,796,560,189,2.4,9.90%,22.30%,19.40%,58.20%,17.60%
Nik Stauskas,PHI,22,6-6,205,Michigan,Canada,2014,1,8,73,617,183,138,-11,1.20%,8.90%,16.30%,51.70%,11.90%
Nicolas Batum,CHA,27,6-8,200,None,France,2008,1,25,70,"1,046.00",428,403,4,2.20%,14.80%,20.90%,54.60%,26.20%
Nick Young,LAL,31,6-7,210,Southern California,USA,2007,1,16,54,392.00,97,34,-9.6,1.30%,8.10%,18.20%,48.30%,5.80%
Nick Collison,OKC,35,6-10,255,Kansas,USA,2003,1,12,59,123,171,52,2.3,9.50%,14.10%,10.50%,49.80%,10.30%
Nerlens Noel,PHI,22,6-11,228,Kentucky,USA,2013,1,6,67,747,542,122,-10.8,7.50%,19.50%,18.70%,54.40%,10.70%
Nene,WAS,33,6-11,250,None,Brazil,2002,1,7,57,525,259,97,1.3,4.90%,19.90%,21.80%,56.40%,14.50%
Nemanja Bjelica,MIN,28,6-10,240,None,Serbia,2010,2,35,60,308,210,82,-5.7,4.70%,15.60%,12.30%,59.40%,11.50%
Nazr Mohammed,OKC,38,6-10,250,Kentucky,USA,1998,1,29,5,8,4,0,-7.1,5.30%,14.30%,20.00%,68.00%,0.00%
Nate Robinson,NOP,32,5-9,180,Washington,USA,2005,1,21,2,0,0,4,-38.5,0.00%,0.00%,1.80%,0.00%,28.60%
Myles Turner,IND,20,6-11,243,Texas-Austin,USA,2015,1,11,60,619,332,41,-2.5,4.90%,18.20%,20.70%,53.10%,5.00%
Montrezl Harrell,HOU,22,6-8,240,Louisville,USA,2015,2,32,39,140,65,17,4.9,6.60%,9.80%,14.10%,63.50%,6.70%
